Account Manager	3	intro	parsed_text	I am moving to [location], [location] due to my husband’s job transfer and I am applying for a position as an [position] at the [location] branch.
Account Manager	5	intro	parsed_text	Enclosed are my application, resume and letter of reference from [contact], Director of [org] in [location].
Accounting Assistant	5	intro	parsed_text	As someone who has spent multiple years in public practise, I possess an in-depth understanding of the [location] Generally Accepted Accounting Principles (GAAP) as well as the basics of internal auditing.
Accounting Clerk	5	intro	parsed_text	Over the past few years, I accumulated important experience in the spheres of public practise, where I learned how to implement new taxation software, journalise entries, record unusual, [number]-time transactions and thrive in a fast-paced environment.
Accounting Manager	5	intro	parsed_text	With more than [duration] years of experience as an accounting professional, I'm excited about the contributions I can make as a member of [org]'s expert team.
Actuary	9	intro	parsed_text	I believe that I can prove to you that hiring me to assess the risks in [org]'s insurance pool is a no-risk proposition.
Adjunct Faculty	3	intro	parsed_text	As I'm currently working on my PhD in mathematical physics at [location], this role will provide me with valuable experience that will ready me to become a full professor once my thesis is complete.
Administrative Assistant	5	intro	parsed_text	I spent [duration] years as an assistant to the Director of the Personnel Department and the last [duration] years assisting the Director of the Public Relations Department.
Airline Pilot	5	intro	parsed_text	Many years have gone by since that day, and I am now an experienced pilot that's flown [number] of miles.
Art Teacher	1	intro	parsed_text	I have [number] passions in life.
Assistant Professor	3	intro	parsed_text	I have an abiding, passionate and almost obsessive interest in mathematics that began when I [ordinal] encountered the work of Georg Cantor in high school.
Assistant Store Manager	1	intro	parsed_text	I want to express my excitement in applying for the Assistant Manager position at [org].
Assistant Store Manager	3	intro	parsed_text	After having spent [duration] years in the clothing retail industry, the last [number] of which were at the Assistant Manager level, I believe that the role of an Assistant Manager is to come up with ways to solve problems as well as support the Manager in the overall plan that they have.
Attorney	3	intro	parsed_text	As one of the top firms in the greater [location] area, it would be my honour and privilege to be associated with a firm the calibre of [org].
Attorney	5	intro	parsed_text	I understand that you have a large division that works in municipal law and that happens to [org].
