raw_position,reconciled_position
software developer,software developer
web developer,software developer
web designer,software developer
website designer,software developer
software dev,software developer
software engineer,software developer
salesforce engineer,software developer
salesforce developer,software developer
ruby on rails developer,software developer
react developer,software developer
angular developer,software developer
junior developer,software developer
php developer yii framework,software developer
php developer,software developer
developer,software developer
java developer,software developer
javascript developer,software developer
scala developer,software developer
django developer,software developer
python developer,software developer
backend developer,software developer
casual web developer,software developer
senior software developer,software developer
senior software engineer,software developer
junior software developer,software developer
junior software engineer,software developer
full-stack developer,software developer
full-stack software engineer,software developer
software engineer,software developer
senior software engineer,software developer
full stack developer,software developer
full stack software engineer,software developer
full stack junior software engineer,software developer
full stack senior software engineer,software developer
fullstack developer,software developer
fullstack software engineer,software developer
fullstack senior software engineer,software developer
fullstack junior software engineer,software developer
front end web developer,software developer
front end software engineer,software developer
software development engineer,software developer
javascript developer,software developer
waiter,waiter
full time section waiter,waiter
wait staff,waiter
front of house staff - section waiters,waiter
waiter and bartender,waiter
bartender,waiter
waiter/kitchen hand,waiter
foh waitress/waiter,waiter
waiter,waiter
waiter/waitress,waiter
front of house team member - senior section waiter,waiter
waiter/waitress,waiter
waiter/kitchen hand,waiter
front-of-house supervisor,waiter
waiter/waitress and cashier,waiter
full time experienced waitress or waiter,waiter
waiter/waitress required,waiter
wine waiter and sommelier,waiter
waiter/waitress required,waiter
foh waitstaff,waiter
cocktail waitress / waiter,waiter
call center agent,call center agent
customer service representative,call center agent
contact centre agent,call center agent
contact centre agent,call center agent
inbound contact centre agent,call center agent
call center agents,call center agent
guest service centre agent,call center agent
call centre agent,call center agent
medical receptionist / inbound contact centre agent,call center agent
medical receptionist / contact centre agent,call center agent
customer service representative,call center agent
telemarketing agent,call center agent
customer service/call centre operator,call center agent
contact centre agent,call center agent
call center customer service,call center agent
customer service advisor,call center agent
service desk agent,call center agent
customer service officer,call center agent
customer service consultant,call center agent
chef,chef
apprentice pastry chef,chef
pastry chef,chef
executive chef cook,chef
chef position,chef
chef,chef
trainee chef / dishwasher,chef
pizza chef,chef
cafe chef,chef
chef manager,chef
cook/chef,chef
indrustiral cook/chef,chef
chef's/cook's,chef
qualified chef,chef
pasta or pizza cook,chef
chef-cook,chef
casual chef,chef
apprentice chef,chef
retail sales assistant,retail sales assistant
retail sales assistant (part-time),retail sales assistant
entry level sales assistant!,retail sales assistant
retail sales assistant (casual),retail sales assistant
casual sales assistant,retail sales assistant
sales assistant,retail sales assistant
sales assistant casual,retail sales assistant
sales assistants,retail sales assistant
entry level sales & promotional assistant,retail sales assistant
part-time sales assistant,retail sales assistant
christmas casual sales assistants,retail sales assistant
christmas casuals,retail sales assistant
administration assistant,administration assistant
admin assistant,administration assistant
administration and customer assistant,administration assistant
receptionist/administration assistant,administration assistant
receptionist/administration assistant,administration assistant
contact centre/team administration assistant,administration assistant
receptionist/administration assistant,administration assistant
entry level sales assistant!,administration assistant
office administration assistant,administration assistant
administration assistant/receptionist,administration assistant
customer service & administration assistant,administration assistant
casual customer service/administration/marketing assistant,administration assistant
structural engineer,structural engineer
junior structural engineer (building sector),structural engineer
experienced/senior structural engineer (building),structural engineer
site engineer,structural engineer
graduate structural engineer,structural engineer
intermediate structural engineer,structural engineer
senior structural engineer,structural engineer
construction labourer,construction labourer
builder/ labourer,construction labourer
experienced demolition labourers,construction labourer
labourer,construction labourer
construction labourers,construction labourer
general labourer (casual),construction labourer
general labourer,construction labourer
construction workers,construction labourer
construction worker,construction labourer
site labourers,construction labourer
site labourer,construction labourer
area construction manager,area construction manager
site manager,area construction manager
facade project manager,area construction manager
operations manager - site services,area construction manager
site project support,area construction manager
construction project manager,area construction manager
business analyst,business analyst
senior technical business analyst,business analyst
business analysts - health,business analyst
business intelligence reporting analyst,business analyst
business and process analyst,business analyst
it business analyst,business analyst
cloud engineer,cloud engineer
cloud architect,cloud engineer
senior cloud engineer,cloud engineer
cloud operations engineer,cloud engineer
cloud engineer infrastructure,cloud engineer
cloud engineer – windows infrastructure,cloud engineer
senior cloud platform engineer,cloud engineer
azure cloud engineer,cloud engineer
cloud front-end engineer,cloud engineer
cloud technical solutions engineer,cloud engineer
cloud platforms engineer,cloud engineer
data scientist,data scientist
data scientist manager,data scientist
data scientist consultant,data scientist
junior data scientist and data engineer,data scientist
data scientist (mathematician),data scientist
lead data scientist,data scientist
snr consultant data scientist,data scientist
research and data analyst,data scientist
senior consultant - business intelligence,data scientist
devops,devops engineer
devops engineer,devops engineer
senior devops engineer,devops engineer
database engineer,devops engineer
cloud devops engineer,devops engineer
consultant devops engineer,devops engineer
platform engineer,devops engineer
devops engineer - contract,devops engineer
devops platform engineer,devops engineer
it project manager,it project manager
project manager - information and communication technology (ict),it project manager
it support / it project manager,it project manager
project manager - it business solutions,it project manager
it business analyst/project manager,it project manager
digital project manager,it project manager
it project manager consultant,it project manager
junior it project manager,it project manager
carpenter,carpenter
carpenter / prop and scenery maker,carpenter
carpenter/handyman,carpenter
sub-contractor carpenter/shop fitter installations,carpenter
carpenter / joiner,carpenter
apprentice carpenter,carpenter
junior apprentice carpenter,carpenter
construction manager,construction manager
construction superintendent,construction superintendent
custodian,custodian
electrician,electrician
equipment operator,equipment operator
estimator,estimator
facilities manager,facilities manager
general maintenance technician,general maintenance technician
groundskeeper,groundskeeper
heavy equipment operator,heavy equipment operator
hvac technician,hvac technician
industrial designer,industrial designer
industrial electrician,industrial electrician
installer,installer
interior designer,interior designer
janitor,janitor
linesman,linesman
maintenance manager,maintenance manager
maintenance mechanic,maintenance mechanic
