job_title	skill	type
bookkeeper	accounting department processes	knowledge
bookkeeper	bookkeeping regulations	knowledge
bookkeeper	financial statements	knowledge
bookkeeper	perform balance sheet operations	skill
bookkeeper	prepare financial statements	skill
bookkeeper	depreciation	knowledge
bookkeeper	follow the statutory obligations	skill
bookkeeper	accounting techniques	knowledge
bookkeeper	identify accounting errors	skill
bookkeeper	accounting entries	knowledge
bookkeeper	use accounting systems	skill
bookkeeper	commercial law	knowledge
bookkeeper	tax legislation	knowledge
bookkeeper	manage the general ledger	skill
bookkeeper	attach accounting certificates to accounting transactions	skill
bookkeeper	prepare trial accounting balances	skill
bookkeeper	company policies	knowledge
bookkeeper	maintain financial records	skill
accounting assistant	accounting department processes	knowledge
accounting assistant	perform business research	skill
accounting assistant	allocate bills	skill
accounting assistant	bookkeeping regulations	knowledge
accounting assistant	check accounting records	skill
accounting assistant	depreciation	knowledge
accounting assistant	manage corporate bank accounts	skill
accounting assistant	follow up accounts receivables	skill
accounting assistant	use office systems	skill
accounting assistant	follow the statutory obligations	skill
accounting assistant	accounting techniques	knowledge
accounting assistant	identify accounting errors	skill
accounting assistant	accounting entries	knowledge
accounting assistant	use accounting systems	skill
accounting assistant	tax legislation	knowledge
accounting assistant	issue sales invoices	skill
accounting assistant	perform account allocation	skill
accounting assistant	attach accounting certificates to accounting transactions	skill
accounting assistant	prepare trial accounting balances	skill
accounting assistant	maintain financial records	skill
accountant	accounting department processes	knowledge
accountant	prepare tax returns forms	skill
accountant	calculate tax	skill
accountant	bookkeeping regulations	knowledge
accountant	financial department processes	knowledge
accountant	financial statements	knowledge
accountant	fraud detection	knowledge
accountant	perform balance sheet operations	skill
accountant	interpret financial statements	skill
accountant	check accounting records	skill
accountant	prepare financial statements	skill
accountant	depreciation	knowledge
accountant	statistics	knowledge
accountant	follow the statutory obligations	skill
accountant	accounting techniques	knowledge
accountant	identify accounting errors	skill
accountant	analyse financial performance of a company	skill
accountant	accounting entries	knowledge
accountant	draft accounting procedures	skill
accountant	explain accounting records	skill
accountant	commercial law	knowledge
accountant	tax legislation	knowledge
accountant	ensure compliance with accounting conventions	skill
accountant	manage accounts	skill
accountant	attach accounting certificates to accounting transactions	skill
accountant	prepare trial accounting balances	skill
financial controller	accounting department processes	knowledge
financial controller	enforce financial policies	skill
financial controller	financial department processes	knowledge
financial controller	financial statements	knowledge
financial controller	develop financial statistics reports	skill
financial controller	create a financial plan	skill
financial controller	synthesise financial information	skill
financial controller	synthesise financial information	skill
financial controller	interpret financial statements	skill
financial controller	prepare financial statements	skill
financial controller	evaluate budgets	skill
financial controller	follow the statutory obligations	skill
financial controller	analyse financial performance of a company	skill
financial controller	track key performance indicators	skill
financial controller	exert expenditure control	skill
financial controller	explain accounting records	skill
financial controller	tax legislation	knowledge
financial controller	ensure compliance with accounting conventions	skill
accounting manager	accounting department processes	knowledge
accounting manager	integrate strategic foundation in daily performance	skill
accounting manager	support development of annual budget	skill
accounting manager	enforce financial policies	skill
accounting manager	analyse market financial trends	skill
accounting manager	strive for company growth	skill
accounting manager	monitor financial accounts	skill
accounting manager	financial department processes	knowledge
accounting manager	financial statements	knowledge
accounting manager	international financial reporting standards	knowledge
accounting manager	financial management	knowledge
accounting manager	fraud detection	knowledge
accounting manager	create a financial plan	skill
accounting manager	interpret financial statements	skill
accounting manager	check accounting records	skill
accounting manager	depreciation	knowledge
accounting manager	evaluate budgets	skill
accounting manager	corporate social responsibility	knowledge
accounting manager	follow the statutory obligations	skill
accounting manager	analyse financial performance of a company	skill
accounting manager	financial analysis	knowledge
accounting manager	accounting entries	knowledge
accounting manager	draft accounting procedures	skill
accounting manager	plan health and safety procedures	skill
accounting manager	explain accounting records	skill
accounting manager	national generally accepted accounting principles	knowledge
accounting manager	tax legislation	knowledge
accounting manager	ensure compliance with accounting conventions	skill
accounting manager	ensure compliance with disclosure criteria of accounting information	skill
accounting manager	idenfify if a company is a going concern	skill
accounting manager	manage accounts	skill
accounting manager	supervise accounting operations	skill
accounting manager	follow company standards	skill
billing clerk	allocate bills	skill
billing clerk	financial department processes	knowledge
billing clerk	file documents	skill
billing clerk	organise business documents	skill
billing clerk	follow up accounts receivables	skill
billing clerk	use office systems	skill
billing clerk	financial capability	knowledge
billing clerk	fill out forms	skill
billing clerk	maintain credit history of clients	skill
billing clerk	maintain customer records	skill
billing clerk	handle financial transactions	skill
billing clerk	maintain financial records	skill
accounting analyst	accounting department processes	knowledge
accounting analyst	monitor financial accounts	skill
accounting analyst	financial department processes	knowledge
accounting analyst	financial statements	knowledge
accounting analyst	international financial reporting standards	knowledge
accounting analyst	analyse business processes	skill
accounting analyst	interpret financial statements	skill
accounting analyst	check accounting records	skill
accounting analyst	accounting techniques	knowledge
accounting analyst	analyse financial performance of a company	skill
accounting analyst	accounting entries	knowledge
accounting analyst	draft accounting procedures	skill
accounting analyst	explain accounting records	skill
accounting analyst	national generally accepted accounting principles	knowledge
accounting analyst	create a financial report	skill
accounting analyst	analyse financial risk	skill
accounting analyst	supervise accounting operations	skill
sales support assistant	perform business research	skill
sales support assistant	bookkeeping regulations	knowledge
